Name,Joining date,Email Address,,department,monthly salary
aishu,01/12/22,aishu@email.com,,sales,55000
ammu,03/12/22,ammu@email.com,,retail,45000
achu,31/12/22,achu@email.com,,accounting,66000
appu,11/12/22,appu@email.com,,support,34000
kudu,31/12/22,kudu@email.com,,sales,30000
ponnu,23/12/22,ponnu@email.com,,legal,45000
mummu,31/12/22,mummu@email.com,,retail,66000
michu,31/12/22,michu@email.com,,accounting,32000
mikku,31/12/22,mikku@email.com,,sales,55000
ambu,31/12/22,ambu@email.com,,sales,65000
